,datetime,logchange
717,01/11/1956,0.008865385
718,02/11/1956,0.004273306
719,05/11/1956,0.00569394
720,07/11/1956,-0.004493848
721,08/11/1956,-0.003517323
722,09/11/1956,-0.003639752
723,12/11/1956,0.001403517
724,13/11/1956,-0.002060047
725,14/11/1956,-0.002447266
726,15/11/1956,-0.002746012
727,16/11/1956,0.000189939
728,19/11/1956,-0.00429384
729,20/11/1956,-0.003852715
730,21/11/1956,-0.002133653
731,23/11/1956,0.004545602
732,26/11/1956,-0.002605485
733,27/11/1956,0.000386986
734,28/11/1956,-0.004666742
735,29/11/1956,-0.000489015
736,30/11/1956,0.006796609
737,03/12/1956,0.00858506
738,04/12/1956,-0.001324358
739,05/12/1956,0.005179764
740,06/12/1956,0.003914269
741,07/12/1956,0.002128672
742,10/12/1956,-0.00222146
743,11/12/1956,-0.002979734
744,12/12/1956,-0.003282665
745,13/12/1956,0.003469498
746,14/12/1956,0.000373426
747,17/12/1956,0
748,18/12/1956,0
749,19/12/1956,-0.001027695
750,20/12/1956,-0.003380471
751,21/12/1956,0.002818884
752,26/12/1956,0.000187277
753,27/12/1956,-0.000374634
754,28/12/1956,0.001963233
755,31/12/1956,0.001024829
756,02/01/1957,-0.004395825
757,03/01/1957,0.003743941
758,04/01/1957,0.000558818
759,07/01/1957,-0.002239598
760,08/01/1957,-0.001593399
761,09/01/1957,-0.000845937
762,10/01/1957,0.001033699
763,11/01/1957,-0.000845571
764,14/01/1957,-0.003019878
765,15/01/1957,-0.006487824
766,16/01/1957,0.000480361
767,17/01/1957,-9.60E-05
768,18/01/1957,-0.005606372
769,21/01/1957,-0.002341216
770,22/01/1957,0.001269725
771,23/01/1957,0.003303374
772,24/01/1957,0.001545877
773,25/01/1957,-0.002030095
774,28/01/1957,-0.003209446
775,29/01/1957,0.002142264
776,30/01/1957,0.001938385
777,31/01/1957,-0.00184126
778,01/02/1957,-0.000972229
779,04/02/1957,-0.000876871
780,05/02/1957,-0.006287114
781,06/02/1957,-0.000693208
782,07/02/1957,-0.001986712
783,08/02/1957,-0.002997213
784,11/02/1957,-0.007584798
785,12/02/1957,-0.001840234
786,13/02/1957,0.006608846
787,14/02/1957,-0.000504818
788,15/02/1957,0.005221638
789,18/02/1957,-0.000499361
790,19/02/1957,0.000299686
791,20/02/1957,0.001395805
792,21/02/1957,-0.001495678
793,25/02/1957,-0.000999988
794,26/02/1957,0.000700233
795,27/02/1957,-0.000399995
796,28/02/1957,-0.001503271
797,01/03/1957,0.004792264
798,04/03/1957,0.003165714
799,05/03/1957,0.001574245
800,06/03/1957,9.82E-05
801,07/03/1957,-0.000196424
802,08/03/1957,-0.001377464
803,11/03/1957,-0.002867293
804,12/03/1957,-0.0002977
805,13/03/1957,0.002869253
806,14/03/1957,0.00029574
807,15/03/1957,-0.000197138
808,18/03/1957,-0.001976315
809,19/03/1957,0.001877713
810,20/03/1957,0.000591279
811,21/03/1957,9.85E-05
812,22/03/1957,-0.000492565
813,25/03/1957,-0.001777874
814,26/03/1957,0.000296818
815,27/03/1957,0.001776662
816,28/03/1957,0.000885613
817,29/03/1957,-0.000688654
818,01/04/1957,0.000295271
819,02/04/1957,0.002746225
820,03/04/1957,0.001171658
821,04/04/1957,-0.000976162
822,05/04/1957,0.000488355
823,08/04/1957,-0.000977261
824,09/04/1957,0.003895917
825,10/04/1957,0.001838389
826,11/04/1957,0
827,12/04/1957,0
828,15/04/1957,-0.000289755
829,16/04/1957,0.000675795
830,17/04/1957,0.000578417
831,18/04/1957,0.003167595
832,22/04/1957,0.000668954
833,23/04/1957,0.001620326
834,24/04/1957,0.00066544
835,25/04/1957,-0.001522506
836,26/04/1957,-0.000572319
837,29/04/1957,0.002189805
838,30/04/1957,9.50E-05
839,01/05/1957,0.002650454
840,02/05/1957,0.003477758
841,03/05/1957,-0.000468343
842,06/05/1957,-0.00065653
843,07/05/1957,-0.001316045
844,08/05/1957,0.001691326
845,09/05/1957,0.000468646
846,10/05/1957,0.002149283
847,13/05/1957,0.002694893
848,14/05/1957,-0.001949802
849,15/05/1957,0.001486357
850,16/05/1957,0.001758467
851,17/05/1957,0.001199072
852,20/05/1957,0.001838286
853,21/05/1957,-0.000183479
854,22/05/1957,-0.001746926
855,23/05/1957,9.21E-05
856,24/05/1957,0.000552303
857,27/05/1957,-0.003973783
858,28/05/1957,-0.000836344
859,29/05/1957,0.00388923
860,31/05/1957,0.00294002
861,03/06/1957,-0.00054974
862,04/06/1957,-0.000825917
863,05/06/1957,-9.19E-05
864,06/06/1957,0.004842294
865,07/06/1957,0.000454046
866,10/06/1957,0.000453571
867,11/06/1957,0.000362516
868,12/06/1957,0.000995362
869,13/06/1957,0.000812694
870,14/06/1957,9.02E-05
871,17/06/1957,0.000811008
872,18/06/1957,-0.0018043
873,19/06/1957,-0.002902564
874,20/06/1957,-0.00264731
875,21/06/1957,-0.002571428
876,24/06/1957,-0.00342148
877,25/06/1957,0.00342148
878,26/06/1957,-0.000553007
879,27/06/1957,0.001565027
880,28/06/1957,0.001009667
881,01/07/1957,0.00054974
882,02/07/1957,0.004282389
883,03/07/1957,0.005047896
884,05/07/1957,0.002056365
885,08/07/1957,0.001869085
886,09/07/1957,0
887,10/07/1957,0.000887221
888,11/07/1957,-0.001242617
889,12/07/1957,0.001951091
890,15/07/1957,0.00044221
891,16/07/1957,-0.002215567
892,17/07/1957,-0.002673687
893,18/07/1957,-0.000447219
894,19/07/1957,0.000447219
895,22/07/1957,-0.000984491
896,23/07/1957,0.000805658
897,24/07/1957,0.000446943
